competency,cbe_category,sub_competency,action_cue,tags
Identify the highest-priority task during shifting demands,Adaptability & Resilience,Select the correct re-prioritized task within 60 s.,,"60,correct,during,re-prioritized,within"
Decide on appropriate actions to sustain performance under pressure,Adaptability & Resilience,Select the correct stabilizing action within 60 s.,,"decide,actions,action,to,60"
Adjust behavior or strategy based on feedback,Adaptability & Resilience,Select the correct feedback-based adjustment within 60 s.,,"select,feedback-based,based,60,correct"
Assess risk early under changing conditions,Adaptability & Resilience,Select the correct risk-mitigation action within 60 s.,,"conditions,changing,action,60,assess"
Select productive actions when encountering unexpected barriers,Adaptability & Resilience,Select the correct barrier-response action within 60 s.,,"encountering,unexpected,actions,action,60"
Identify ethical issues or conflicts in a scenario,Ethical Reasoning & Judgment,Select the correct ethical conflict within 60 s.,,"a,scenario,60,conflict,correct"
Evaluate choices using principles of fairness and responsibility,Ethical Reasoning & Judgment,"Select the fair, responsible choice within 60 s.",,"principles,and,of,fairness,select"
Assess risk or potential harm to stakeholders,Ethical Reasoning & Judgment,Select the correct harm-prevention option within 60 s.,,"potential,60,to,assess,correct"
"Verify honesty, accuracy, and truth in communication",Ethical Reasoning & Judgment,"Select the truthful, accurate response within 60 s.",,"truthful,,accuracy,,60,s.,accurate"
"Validate actions against rules, policies, or codes of conduct",Ethical Reasoning & Judgment,Select the correct policy-based action within 60 s.,,"actions,of,codes,action,rules,"
Select the option that minimizes bias and maximizes fairness,Ethical Reasoning & Judgment,"Select the least-biased, fair option within 60 s.",,"that,and,fairness,60,least-biased,"
Generate multiple ideas or approaches to a challenge,Creativity & Innovation,Select the most relevant idea within 60 s.,,"relevant,challenge,a,multiple,to"
Generate a new solution by combining existing concepts,Creativity & Innovation,Select the correct concept combination within 60 s.,,"existing,a,concepts,60,correct"
Recognize patterns or spot anomalies in information,Creativity & Innovation,Select the correct insight within 60 s.,,"insight,spot,recognize,patterns,information"
Adjust an initial idea to improve effectiveness or fit,Creativity & Innovation,Select the best improved version within 60 s.,,"effectiveness,an,idea,to,best"
Allocate constraints creatively to solve a problem,Creativity & Innovation,Select the correct constraint-based solution within 60 s.,,"creatively,a,solve,constraint-based,to"
Select the idea with the highest potential value or impact,Creativity & Innovation,Select the highest-impact idea within 60 s.,,"highest-impact,potential,idea,value,60"
Audit UI elements for style guide adherence,Brand Advocacy,Select the 3 UI elements that violate the brand style guide within 60 s.,,"adherence,that,ui,60,audit"
Align visual assets with core brand messaging,Brand Advocacy,Match the 4 visual assets to the corresponding brand values within 60 s.,,"messaging,match,60,to,assets"
Maintain consistent brand voice across touchpoints,Brand Advocacy,Select the correct copy-variant that matches the brand persona within 60 s.,,"that,touchpoints,matches,60,s."
Protect brand integrity in third-party environments,Brand Advocacy,Remove the brand asset from the non-compliant ad placement within 60 s.,,"non-compliant,third-party,protect,remove,from"
Evangelize design standards to stakeholders,Brand Advocacy,Identify the business benefit of the new design system within 60 s.,,"design,benefit,to,of,60"
Validate the use of authorized brand assets,Brand Advocacy,Select the approved logo variation for the dark-mode interface within 60 s.,,"for,of,approved,60,assets"
Optimize DOM rendering for performance efficiency,State & Library Management,Identify the redundant re-render trigger in the component code within 60 s.,,"optimize,trigger,60,efficiency,component"
Audit layout shifts caused by CSS properties,State & Library Management,Select the CSS property causing the Cumulative Layout Shift (CLS) within 60 s.,,"caused,property,css,layout,cumulative"
Validate semantic HTML for SEO and accessibility,State & Library Management,Replace the generic <div> tags with correct semantic landmarks within 60 s.,,"tags,semantic,60,correct,<div>"
Map state management data flow across components,State & Library Management,Trace the 'User_Data' prop through 4 levels of component nesting within 60 s.,,"state,60,component,prop,map"
Assign event listeners to correct lifecycle hooks,State & Library Management,Match the data-fetching logic to the correct lifecycle hook within 60 s.,,"assign,match,data-fetching,60,to"
Detect asset loading bottlenecks in the network tab,State & Library Management,Identify the unoptimized image file delaying the 'LCP' within 60 s.,,"60,image,bottlenecks,detect,loading"
Optimize database queries for time and space,Database & API Scalability,Rewrite the nested loop query into an optimized JOIN within 60 s.,,"an,60,nested,time,and"
Identify memory leaks in server-side execution,Database & API Scalability,Mark the function causing the heap memory spike in logs within 60 s.,,"logs,spike,60,server-side,heap"
Sequence background jobs for data processing,Database & API Scalability,"Order the 'Fetch', 'Sanitize', and 'Save' worker tasks within 60 s.",,"jobs,and,tasks,sequence,processing"
Select appropriate caching strategies for high-load,Database & API Scalability,Assign 'Write-Through' vs 'Cache-Aside' to the scenario within 60 s.,,"for,assign,scenario,60,to"
Validate JSON schemas for API contract consistency,Database & API Scalability,Select the schema defining 'Required' fields for the POST within 60 s.,,"contract,60,fields,defining,post"
Interpret system logs to identify performance bottlenecks,Data Integrity & Synthesis,Select the specific DB query causing the highest latency within 60 s.,,"logs,interpret,to,60,bottlenecks"
Identify anomalies in real-time traffic data streams,Data Integrity & Synthesis,Identify the 3 traffic spikes that deviate from the 7-day baseline within 60 s.,,"that,traffic,from,60,7-day"
Validate data integrity across distributed databases,Data Integrity & Synthesis,Match the record ID to the inconsistent value in the replica set within 60 s.,,"match,60,record,integrity,in"
Sequence ETL processes for optimal data warehouse loading,Data Integrity & Synthesis,"Order the 'Extract', 'Cleanse', and 'Load' tasks to prevent deadlock within 60 s.",,"60,'load',order,processes,data"
Select visualization types for specific technical metrics,Data Integrity & Synthesis,Select the 'Histogram' vs 'Scatter Plot' to show distribution within 60 s.,,"visualization,technical,distribution,types,plot'"
Evaluate the impact of data sampling on result accuracy,Data Integrity & Synthesis,Identify the bias introduced by the 10% sampling rate within 60 s.,,"of,accuracy,sampling,rate,60"
Calculate cloud infrastructure costs based on usage,FinOps & Cloud Economics,Select the most cost-effective server instance type for the load within 60 s.,,"type,based,60,usage,cloud"
Identify budget variances in technical project spend,FinOps & Cloud Economics,Identify the 2 line items exceeding the monthly hosting budget within 60 s.,,"project,technical,items,hosting,budget"
Evaluate the ROI of automated vs manual testing,FinOps & Cloud Economics,Select the testing strategy with the lower 12-month projected cost within 60 s.,,"manual,strategy,of,60,cost"
Sequence procurement steps for hardware or SaaS,FinOps & Cloud Economics,"Order the 'Quote', 'Approval', and 'Purchase' steps within 60 s.",,"hardware,sequence,'approval',,60,steps"
Assign technical resources based on project budget,FinOps & Cloud Economics,Match developer roles to available hourly budget constraints within 60 s.,,"project,technical,assign,match,available"
Identify financial risks in long-term tech contracts,FinOps & Cloud Economics,Mark the hidden 'overage fee' clause in the provider contract within 60 s.,,"long-term,contracts,contract,fee',clause"
Validate software against accessibility standards,Technical Standards Audit,Identify the UI element lacking the correct ARIA-label within 60 s.,,"ui,aria-label,60,lacking,correct"
Audit unit test coverage for edge case inclusion,Technical Standards Audit,Identify the missing 'Null Pointer' test case in the suite within 60 s.,,"unit,inclusion,60,audit,suite"
Identify PII data leaks in automated report outputs,Technical Standards Audit,Identify the unmasked email address in the logs within 60 s.,,"pii,email,logs,60,unmasked"
Sequence automated testing stages in the CI pipeline,Technical Standards Audit,"Order 'Linting', 'Unit Tests', and 'Integration Tests' within 60 s.",,"pipeline,sequence,ci,tests',,'integration"
Validate the integrity of third-party library licenses,Technical Standards Audit,Select the 'MIT' vs 'GPL' license for a commercial product within 60 s.,,"60,vs,commercial,integrity,select"
Evaluate software stability after security patching,Technical Standards Audit,Identify the service regression caused by the patch within 60 s.,,"caused,60,security,s.,stability"
Audit AI-generated functions for technical hallucinations,Code & Agent Oversight,Identify the 2 logical fallacies in the AI code within 60 s.,,"technical,ai-generated,60,s.,audit"
Identify technical debt in AI-suggested refactoring,Code & Agent Oversight,Mark the code block introducing unnecessary complexity within 60 s.,,"technical,unnecessary,60,debt,block"
Validate AI code outputs for PII/Data Privacy leaks,Code & Agent Oversight,Redact the hardcoded sensitive data points within 60 s.,,"points,hardcoded,60,sensitive,code"
Optimize LLM token usage in automated code calls,Code & Agent Oversight,Select the most token-efficient prompt for the API call within 60 s.,,"call,60,usage,calls,prompt"
Sequence human-review checkpoints in AI workflows,Code & Agent Oversight,"Order 'Verify Logic', 'Security Audit', and 'Push' steps within 60 s.",,"'security,'verify,workflows,sequence,60"
Detect demographic bias in AI-generated test data,Code & Agent Oversight,Identify the statistical skew in the AI-generated dataset within 60 s.,,"ai-generated,statistical,60,skew,detect"
Identify non-compliant brand asset usage in ads,Brand Integrity,Mark the 2 ad images using unapproved logo variations within 60 s.,,"60,usage,in,images,ad"
Audit ad placements for negative keyword violations,Brand Integrity,Remove the ad from the 'Unsafe-Content' placement category within 60 s.,,"category,ad,remove,violations,from"
Validate influencer content for disclosure compliance,Brand Integrity,Identify the post missing the '#ad' or 'Sponsored' tag within 60 s.,,"influencer,compliance,disclosure,60,tag"
Match creative assets to approved style guides,Brand Integrity,Select the color hex-code that matches the 'Secondary' palette within 60 s.,,"hex-code,that,matches,creative,match"
Identify font-licensing violations in digital assets,Brand Integrity,Mark the asset using an unlicensed custom font within 60 s.,,"digital,an,60,violations,assets"
Evaluate the impact of creative on brand sentiment,Brand Integrity,Select the image that avoids controversial or biased tropes within 60 s.,,"that,60,evaluate,sentiment,select"
Audit AI-generated copy for brand-voice alignment,AI Oversight & Ethics,Remove the 3 phrases that violate the brand persona within 60 s.,,"that,ai-generated,remove,60,s."
Identify hallucinations in AI-generated market research,AI Oversight & Ethics,Mark the statistic that contradicts the provided raw source data within 60 s.,,"that,source,ai-generated,raw,60"
Validate AI outputs for PII/Privacy compliance,AI Oversight & Ethics,Redact the 5 sensitive customer data points before AI processing within 60 s.,,"points,compliance,processing,60,sensitive"
Detect bias in AI-driven audience segmentation,AI Oversight & Ethics,Identify the skewed demographic category in the AI output within 60 s.,,"output,category,60,skewed,detect"
Audit AI-generated visual assets for IP/Copyright risk,AI Oversight & Ethics,Select the image that avoids trademarked logos or protected likenesses within 60 s.,,"that,ai-generated,protected,60,ip/copyright"
Verify AI technical claims against product specifications,AI Oversight & Ethics,Mark the unverified product feature claim within 60 s.,,"technical,claim,60,against,specifications"
Calculate time-saved per AI workflow automation,AI-ROI & Lifecycle,Identify the task that has achieved >20% reduction in manual hours within 60 s.,,"that,60,hours,time-saved,in"
Audit AI tool-stack seat utilization and waste,AI-ROI & Lifecycle,Mark the 2 tools in the stack with <10% active user engagement within 60 s.,,"60,utilization,<10%,in,and"
Evaluate AI vendor compliance with NDS3 standards,AI-ROI & Lifecycle,Select the vendor that meets national data-sovereignty requirements within 60 s.,,"that,meets,compliance,60,requirements"
Sequence human-review checkpoints in AI production,AI-ROI & Lifecycle,"Order the 'Verify Truth', 'Audit Tone', and 'Final Sign-off' steps within 60 s.",,"tone',,truth',,'audit,60,in"
Match AI tool capabilities to specific project briefs,AI-ROI & Lifecycle,Match the 3 AI tools to the correct 3 project requirements within 60 s.,,"project,tool,capabilities,match,60"
Predict cost-scaling for high-volume AI API usage,AI-ROI & Lifecycle,Select the accurate budget forecast for a 1-million token campaign within 60 s.,,"campaign,60,usage,api,select"
